[L]# 01:39:19-424  ThreadID:1 >> Landlord Server Start ...
[L]# 01:39:20-140  ThreadID:1 >> Server Start...
[L]# 01:39:34-007  ThreadID:9 >> Client Online
[L]# 01:39:34-007  ThreadID:9 >> Client Online,Allocate TokenID:999
[L]# 01:39:34-027  ThreadID:1 >> Assign TokenID:999
[L]# 01:39:37-130  ThreadID:9 >> RcvPack CMD:ReqLogin
[L]# 01:39:37-186  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:37-726  ThreadID:9 >> RcvPack CMD:RequestAddRoom
[L]# 01:39:37-777  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:37-819  ThreadID:9 >> Client Online
[L]# 01:39:37-819  ThreadID:9 >> Client Online,Allocate TokenID:998
[L]# 01:39:37-828  ThreadID:1 >> Assign TokenID:998
[L]# 01:39:40-022  ThreadID:9 >> RcvPack CMD:ReqLogin
[L]# 01:39:40-096  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:40-911  ThreadID:9 >> RcvPack CMD:RequestJoinRoomMsg
[L]# 01:39:40-962  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:40-971  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:41-607  ThreadID:10 >> RcvPack CMD:RequestReady
[L]# 01:39:46-678  ThreadID:9 >> Client Online
[L]# 01:39:46-678  ThreadID:9 >> Client Online,Allocate TokenID:997
[L]# 01:39:46-724  ThreadID:1 >> Assign TokenID:997
[L]# 01:39:47-997  ThreadID:9 >> RcvPack CMD:ReqLogin
[L]# 01:39:48-066  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:48-619  ThreadID:9 >> RcvPack CMD:RequestJoinRoomMsg
[L]# 01:39:48-630  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:48-632  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:48-635  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:49-142  ThreadID:9 >> RcvPack CMD:RequestReady
[L]# 01:39:54-895  ThreadID:9 >> Client Online
[L]# 01:39:54-895  ThreadID:9 >> Client Online,Allocate TokenID:996
[L]# 01:39:54-935  ThreadID:1 >> Assign TokenID:996
[L]# 01:39:56-587  ThreadID:9 >> RcvPack CMD:ReqLogin
[L]# 01:39:56-691  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:57-227  ThreadID:9 >> RcvPack CMD:RequestJoinRoomMsg
[L]# 01:39:57-262  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:57-269  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:57-269  ThreadID:12 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:57-274  ThreadID:13 >> RcvPack CMD:RequestRoomMsg
[L]# 01:39:57-763  ThreadID:13 >> RcvPack CMD:RequestReady
[L]# 01:40:03-734  ThreadID:9 >> Client Online
[L]# 01:40:03-735  ThreadID:9 >> Client Online,Allocate TokenID:995
[L]# 01:40:03-763  ThreadID:1 >> Assign TokenID:995
[L]# 01:40:04-928  ThreadID:9 >> RcvPack CMD:ReqLogin
[L]# 01:40:05-055  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:05-532  ThreadID:9 >> RcvPack CMD:RequestJoinRoomMsg
[L]# 01:40:05-544  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:05-549  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:05-550  ThreadID:13 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:05-550  ThreadID:14 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:05-549  ThreadID:12 >> RcvPack CMD:RequestRoomMsg
[L]# 01:40:06-221  ThreadID:12 >> RcvPack CMD:RequestReady
[L]# 01:40:08-427  ThreadID:14 >> RcvPack CMD:RequestGameStart
[L]# 01:40:08-488  ThreadID:1 >> ReadyNumber:4
[L]# 01:40:08-499  ThreadID:14 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:08-499  ThreadID:13 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:08-500  ThreadID:14 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:08-500  ThreadID:12 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:08-506  ThreadID:12 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:09-852  ThreadID:12 >> RcvPack CMD:RequestSelectChar
[L]# 01:40:10-957  ThreadID:9 >> RcvPack CMD:RequestSelectChar
[L]# 01:40:11-853  ThreadID:9 >> RcvPack CMD:RequestSelectChar
[L]# 01:40:12-835  ThreadID:9 >> RcvPack CMD:RequestSelectChar
[L]# 01:40:13-611  ThreadID:9 >> RcvPack CMD:RequestSelectChar
[L]# 01:40:13-665  ThreadID:9 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:13-672  ThreadID:9 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:13-673  ThreadID:9 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:13-681  ThreadID:9 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:13-682  ThreadID:14 >> RcvPack CMD:RequestRefreshMessage
[L]# 01:40:17-527  ThreadID:13 >> RcvPack CMD:RequestEndPlay
[L]# 01:40:20-143  ThreadID:13 >> RcvPack CMD:RequestMessageTransfer
[L]# 01:40:22-245  ThreadID:9 >> RcvPack CMD:RequestAcceptMessage
[L]# 01:40:22-275  ThreadID:9 >> RcvPack CMD:RequestAcceptMessage
[L]# 01:40:26-015  ThreadID:9 >> RcvPack CMD:RequestMessageInfo
[L]# 01:40:30-421  ThreadID:9 >> RcvPack CMD:RequestMessageInfo
[L]# 01:40:31-397  ThreadID:9 >> RcvPack CMD:RequestOutCard
[L]# 01:40:36-213  ThreadID:9 >> RcvPack CMD:RequestOutCard
[L]# 01:40:44-225  ThreadID:9 >> RcvPack CMD:RequestEndResponseStage
[L]# 01:40:59-288  ThreadID:9 >> RcvPack CMD:RequestEndPlay
[L]# 01:41:02-192  ThreadID:11 >> RcvPack CMD:RequestMessageTransfer
[L]# 01:41:03-388  ThreadID:11 >> RcvPack CMD:RequestAcceptMessage
[L]# 01:41:05-769  ThreadID:11 >> RcvPack CMD:RequestEndPlay
[L]# 01:41:06-580  ThreadID:11 >> RcvPack CMD:RequestMessageTransfer
[L]# 01:41:07-706  ThreadID:11 >> RcvPack CMD:RequestAcceptMessage
[L]# 01:41:10-722  ThreadID:9 >> RcvPack CMD:RequestMessageInfo
[L]# 01:41:14-052  ThreadID:9 >> RcvPack CMD:RequestMessageInfo
[L]# 01:41:14-910  ThreadID:9 >> RcvPack CMD:RequestOutCard
[L]# 01:41:22-958  ThreadID:9 >> RcvPack CMD:RequestEndResponseStage
[L]# 01:41:27-659  ThreadID:8 >> RcvPack CMD:RequestEndPlay
[W]# 01:41:30-773  ThreadID:8 >> Token:996 Close:Success
[L]# 01:41:30-820  ThreadID:1 >> Token:996 client offline.
[W]# 01:41:30-825  ThreadID:1 >> Connection is break.cannot send net msg.
[L]# 01:41:30-827  ThreadID:8 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:30-828  ThreadID:9 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:30-834  ThreadID:10 >> RcvPack CMD:RequestRoomMsg
[L]# 01:41:30-839  ThreadID:15 >> RcvPack CMD:RequestRoomMsg
